artist,track,Platform,total_stream,ranks
"The Weeknd","Blinding Lights","Spotify",3386520288,1
"Lewis Capaldi","Someone You Loved","Spotify",2634013335,2
"Post Malone","rockstar (feat. 21 Savage)","Spotify",2594926619,3
"Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Spotify",2538329799,4
"Post Malone","Sunflower - Spider-Man: Into the Spider-Verse","Spotify",2538329799,5
Drake,"One Dance","Spotify",2522431995,6
"The Chainsmokers",Closer,"Spotify",2456205158,7
Halsey,Closer,"Spotify",2456205158,8
"Justin Bieber","STAY (with Justin Bieber)","Spotify",2365777505,9
"The Kid LAROI","STAY (with Justin Bieber)","Spotify",2365777505,10
"Ed Sheeran","Shape of You","Youtube",3362005201,1
"Imagine Dragons",Believer,"Youtube",2369272335,2
"Ed Sheeran",Perfect,"Youtube",2312689776,3
"Ed Sheeran","Thinking out Loud","Youtube",2154334378,4
"The Chainsmokers","Something Just Like This","Youtube",2030825694,5
Coldplay,"Something Just Like This","Youtube",2030825694,6
"John Legend","All of Me","Youtube",1944651744,7
"Imagine Dragons",Thunder,"Youtube",1900080651,8
"Twenty One Pilots","Stressed Out","Youtube",1833638048,9
"Dua Lipa","New Rules","Youtube",1807370674,10
